"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag"
"The Unseen Architects of the Night

The first Monday after peak season belongs to them. No crowds, no guest lists, just a well-earned break before the next round of madness begins.

Bouncers are the quiet force behind the chaos, the ones who keep the wheels running and the night from slipping into mayhem. Every great gig needs a headliner, a crowd, a beat. But none of it works without the ones who hold it together.","District","districtculture","https://www.instagram.com/p/DHkwrCnx78V/","59","🔥🔥","1822","2025-03-24T07:55:49.000Z",
"Bold, smooth, or straight-up fierce, what’s your pick? 
Introducing our Women’s Day Special Cocktails, crafted by 5 powerhouse women. 
Available March 8 - March 22!
Which one are you trying first?

#gobananas #womensday #cocktails #MonkeyBarMumbai","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DG2_YW6Ss-J/","0","","44","2025-03-06T13:15:53.000Z",
"Food this good deserves a freeze-frame. 
Dig into our globally inspired plates at Monkey Bar Delhi & Mumbai. 
Scroll-stopping, fork-dropping, appetite-popping! 👀😍

#monkeybar #monkeybardelhi #monkeybarmumbai #wildlunch #newflavours #modernindian #bandra #vasantkunj #mumbaifoodie #neighbourhoodbar #delhieats 

Monkey Bar Delhi, Monkey Bar Mumbai, Bandra, Vasant Kunj, lunch spots in bandra,Things to eat in Delhi, neighbourhood bar","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DPGEWgpErHr/","0","","243","2025-09-27T06:10:53.000Z",
"Strong women, bold spirits, and unstoppable vibes! 🍹💪 This Women’s Day, let’s raise a toast to those who run the world! 🥂 See you at the bar!

#gobananas #womensday #mobar","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DG8DpJoSB69/","0","","51","2025-03-08T12:30:09.000Z",
"Fresh, zesty, and packed with flavour - our Herby Lemon Chicken is the perfect pick for a mouthwatering bite! Ready to dig in?

#gobananas #MonkeyBarInd #herbylemonchicken #mobar","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DFpOqQ9S4_Z/","0","","363","2025-02-04T08:28:38.000Z",
"Love is in the air... or is it?
Get ready for Stupid Cupid – The Love Mixer at Monkey Bar! Coming soon with flirty cocktails, cheeky vibes, and zero love clichés. Stay tuned!

#gobananas #MonkeyBarInd #stupidcupid #singlesmixer","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DFw50QZyWuv/","0","","232","2025-02-07T08:00:25.000Z",
"Love is in the air... or is it?
Get ready for Stupid Cupid – The Love Mixer at Monkey Bar! Coming soon with flirty cocktails, cheeky vibes, and zero love clichés. Stay tuned!

#gobananas #MonkeyBarInd #stupidcupid #singlesmixer","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DFw5yUsyuYR/","0","","126","2025-02-07T08:00:09.000Z",
"Bold, spicy, and straight from the South! Our Chettinad Mutton Seekh is the perfect blend of tender mutton and robust Chettinad spices, grilled to perfection. Ready to fire up your taste buds?

#gobananas #MonkeyBarInd #chettinad","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DFXv3eEyxFA/","1","Mouth watering 😋","499","2025-01-28T13:32:28.000Z",
"Love is in the air... or is it?
Get ready for Stupid Cupid – The Love Mixer at Monkey Bar! Coming soon with flirty cocktails, cheeky vibes, and zero love clichés. Stay tuned!

#gobananas #MonkeyBarInd #stupidcupid #singlesmixer","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DFw5oPhyIZB/","0","","95","2025-02-07T07:58:47.000Z",
"Sundays done right with a hearty breakfast at Monkey Bar Bengaluru! Serving up comfort and flavour to kickstart your day, 10:30 AM to 4 PM. Don’t sleep in!

#gobananas #monkeybarbengaluru #breakfast #monkeybarbengaluru","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DFh6Kngy7F_/","3","Jnn","3240","2025-02-01T12:14:52.000Z",
"The next edition of Like Glue brings @prav.wavy (Singapore) to New Delhi for a night of high-energy, genre-defying sounds.

As the founder and resident DJ of @thewavyszn, PRAV has built a reputation for curating cutting-edge events that fuse Hip-Hop, R&B, Afrobeats, Amapiano, and Future Beats into unforgettable experiences. 

Having played across Amsterdam, Milan, Melbourne, and beyond, he’s set to bring his signature vibe to New Delhi for the first time.

Save the date: 28th Feb—full lineup and details coming soon.

#LikeGlue #boxoutfm #nocliquejustplay","Boxout Wednesdays | Like Glue","boxoutwednesdays","https://www.instagram.com/p/DGDGgdASttQ/","1","Can’t wait! 🇮🇳💫🙏🏽","1282","2025-02-14T09:37:38.000Z",
"Love is in the air... or is it?
Get ready for Stupid Cupid – The Love Mixer at Monkey Bar! Coming soon with flirty cocktails, cheeky vibes, and zero love clichés. Stay tuned!

#gobananas #MonkeyBarInd #stupidcupid #singlesmixer","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DFw5tpJytu7/","0","","143","2025-02-07T07:59:31.000Z",
"Take a walk on the wild side under our iconic glass dome at Monkey Bar Delhi! With cheeky vibes, killer cocktails, and a space that’s as playful as you are, it’s the perfect jungle to let loose. 

#gobananas #monkeybardelhi #monkeybar 
#MonkeyBarInd","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DFnKA_ZyW5j/","0","","588","2025-02-03T13:09:34.000Z",
"Shaken, stirred, and mixed with love!  The Love Mixer at Monkey Bar Mumbai was all about great vibes, delicious cocktails, and unforgettable moments. 
Cheers to love in all its flavors! 🥂✨ 

#LoveMixer #MonkeyBarMumbai #MixingItUp #gobananas #mobar #monkeybar","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DGNvoPFyTlE/","1","🔥🔥🔥🔥🔥🔥🔥","986","2025-02-18T12:50:01.000Z",
"Still reeling from India’s big win last Sunday! The Championship Trophy final was one for the books, and we’re reliving the best moments. Here are a few highlights from the epic showdown! 

#Champions #MonkeyBar #gobananas #monkeybarmumbai","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DHOM3tGSFTf/","0","","628","2025-03-15T13:36:54.000Z",
"Goa vibes, Bandra style! Join us for Shaken & Stirred— a bar takeover you won’t want to miss! 🎉

Mark your calendars for 17th January and let the fun begin. Call 7710083222 for reservations—don’t miss this epic night at Monkey Bar Bandra!","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DEr9lv4yXIJ/","0","","221","2025-01-11T13:25:48.000Z",
"Here’s how we swung into 2025. The wildest house party vibes lit up Monkey Bar Mumbai with an epic New Year’s Bash! DJ Gaurav kept the beats rolling from 9 PM till the countdown – and we danced straight into the new year like true party animals . Cheers to unforgettable memories and a rocking start to 2025!

#monkeybarind #gobananas #newvibes #mobar #monkeybarmumbai","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DEpc26kSRIx/","0","","246","2025-01-10T14:02:33.000Z",
"Spice up your cravings with our Prawns Kheema Pao—where bold flavors meet the perfect bite.

#MoBar #gobananas #MonkeyBarInd #kheemapao","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DExBh5myN_I/","0","","112","2025-01-13T12:36:25.000Z",
"Sip on our Winter Warmers at Monkey Bar Delhi, cocktails crafted to keep you cozy and your spirits high. Shall we toast to the season?

#gobananas #MoBar #delhiwinters #cocktails #winterwarmers","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DFvBGI-txd0/","0","","484","2025-02-06T14:25:33.000Z",
"Winter just got a whole lot warmer! Sip on Bitter Sweet - a cozy blend of bourbon, apples, cinnamon, orange bitters & spices. Perfect for chilly nights!

#wintercocktails #winterwarmers #gobananas #monkeybardelhi","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DFITUWMNIQt/","1","Xxxx","377","2025-01-22T13:35:39.000Z",
"2024 was bananas!  From wild swings on the dance floor to epic memories with the troop, it’s been a jungle of fun at Monkey Bar. Here’s to more monkey business in 2025 let’s go bigger, louder, crazier!

#gobananas #monkeybarind #mobar #newyear","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DEPc3l3yCz0/","0","","473","2024-12-31T11:44:39.000Z",
"Christmas Eve at Monkey Bar Bengaluru was a night to remember! 
Christmas cheer with Elvis, aka @siddharthmeghani made us swing to some foot tapping tunes, great vibes, and holiday cheer.

#gobananas #mobar #monkeybarind #monkeybarbengaluru","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DEU3en_SwoY/","3","@bandraanna your looking lovely ❤️","489","2025-01-02T14:11:13.000Z",
"Swung into 2025 with All That Glitters at Monkey Bar Delhi!  From Hollywood glitz to bold beats, it was a night of glam, groovin', and guzzling cocktails. Big cheers to our tribe for making it unforgettable— here’s to another year of sparkle, sass, and monkey business!

#gobananas #monkeybardelhi #MonkeyBarInd #newvibes #newflavours #mobar","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DEh9dnoyFTF/","0","","592","2025-01-07T16:12:55.000Z",
"Love is in the air... or is it?
Get ready for Stupid Cupid – The Love Mixer at Monkey Bar! Coming soon with flirty cocktails, cheeky vibes, and zero love clichés. Stay tuned!

#gobananas #MonkeyBarInd #stupidcupid #singlesmixer","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DFw5qxJyjIX/","0","","63","2025-02-07T07:59:07.000Z",
"Drinks, bites, and live music—it’s all happening this Sunday at Monkey Bar Mumbai! 🥂 🎶

Enjoy our unlimited packages at 1300* for food and 2100* for drinks, vibe to Sonali & Rishabh as they set the perfect Sundaze mood. 

Call: 7710083222 for reservations!

#SundayMood #MonkeyBarMumbai #GoodVibesOnly #WeekendGoals #UnlimitedDrunch #monkeybarmumbai #brunchgoals  #brunchtime","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DEkI1Yiy7kX/","64","🔥🔥🔥","2627","2025-01-08T12:30:55.000Z",
"Spotlight on, mics up! 🎤✨
Karaoke Nights with Rosemary light up Monkey Bar Bandra every Wednesday.
🎶 9 PM onwards | Curated by Hylo
Round up your gang, sing your hearts out, and make the night unforgettable—see you at the mic!
 
@hylo.mumbai @rosemarylfernandes 

#MonkeyBarBandra #KaraokeNight #SingYourHeartOut #BandraNights #MonkeyVibes #MumbaiNightlife #GoodVibesOnly #SingAlong #gobananas #karaokelovers 

Monkey bar, karaoke, karaoke night, bandra, monkey bar mumbai, bandra nights, Wednesday nights","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DOGwhkZiqhG/","0","","26","2025-09-02T15:55:33.000Z",
"@martindsouzaofficial ended 2024 at Monkey Bar Bengaluru on a high!  Legendary tunes, wild vibes, and a troop that partied like there’s no tomorrow. See you at the next swing!

#gobananas #monkeybarbengaluru #MonkeyBarInd","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DEZ_5OayaBL/","8","😍😍","1123","2025-01-04T14:05:10.000Z",
"The 2nd Edition of VIBE CHECK with DJ NASH (Throwbacks Edition) at MONKEY BAR, Bangalore, was nothing short of iconic!

The nostalgia was real, the throwbacks hit different, and the energy was unmatched.. THE VIBE was straight 🔥. The crowd? Absolutely lit.

Whatta night, whatta vibe! Stay tuned for more magic!","DJ Nash!","iam.djnash","https://www.instagram.com/p/DE4uJU9z92k/","2","🔥🔥🔥🔥🔥","-1","2025-01-16T12:27:21.000Z",
"Step into the outdoors at Monkey Bar Mumbai, where vibrant energy meets lush vibes. Perfect for laid-back brunches, catch-ups, and good times, our outdoor space is your go-to spot for a refreshing escape in the city!

#gobananas #monkeybarmumbai #MonkeyBarInd","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DFP7EMTyWw7/","1","😍","354","2025-01-25T12:36:24.000Z",
"Naughty or nice? This Christmas, we’re bringing Mistletoe & Mischief to Monkey Bar! Get ready for a festive mix of playful mischief and holiday cheer. Coming soon!

#gobananas #naughtyornice #christmas #mistletoeandmischief #comingsoon","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DDj28stSIFw/","1","Metar h keya Chudku jene ke waste jao pher ache rahu🌸❔","4","2024-12-14T13:22:27.000Z",
"Naughty or nice? This Christmas, we’re bringing Mistletoe & Mischief to Monkey Bar! Get ready for a festive mix of playful mischief and holiday cheer. Coming soon!

#gobananas #naughtyornice #christmas #mistletoeandmischief #comingsoon","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DDj23o5yRx7/","0","","8","2024-12-14T13:21:45.000Z",
